Year,Month,District,Region,Estimated_Population,Confirmed_Malaria_Cases,Incidence_per_1000,Incidence_per_100,Rainfall_mm,Temperature_C,RH_percent,Month_Num,Rainfall_lag1,Rainfall_lag2,Cases_lag1,Cases_lag2
2020,January,Kumba,Southwest,231938,638,2.75,0.28,0.0,0.4905660377358494,0.21719457013574672,1,0.009834050399508297,0.1380864576930957,0.2846153846153846,0.4839160839160839
2020,February,Kumba,Southwest,231938,587,2.53,0.25,0.010448678549477565,0.867924528301887,0.0,2,0.0,0.009834050399508297,0.2692307692307693,0.2846153846153846
2020,March,Kumba,Southwest,231938,764,3.29,0.33,0.273099774636345,0.584905660377359,0.5746606334841631,3,0.010448678549477565,0.0,0.23356643356643356,0.2692307692307693
2020,April,Kumba,Southwest,231938,939,4.05,0.4,0.1290719114935464,0.37735849056603765,0.8597285067873308,4,0.273099774636345,0.010448678549477565,0.35734265734265735,0.23356643356643356
2020,May,Kumba,Southwest,231938,1130,4.87,0.49,0.181520180290924,0.41509433962264186,0.864253393665158,5,0.1290719114935464,0.273099774636345,0.47972027972027964,0.35734265734265735
2020,June,Kumba,Southwest,231938,1161,5.01,0.5,0.2603974595369801,0.2264150943396226,0.9049773755656112,6,0.181520180290924,0.1290719114935464,0.6132867132867132,0.47972027972027964
2020,July,Kumba,Southwest,231938,1286,5.55,0.55,0.5082974800245852,0.03773584905660421,0.9683257918552037,7,0.2603974595369801,0.181520180290924,0.634965034965035,0.6132867132867132
2020,August,Kumba,Southwest,231938,1509,6.51,0.65,0.3175578774841221,0.018867924528302105,0.9547511312217196,8,0.5082974800245852,0.2603974595369801,0.7223776223776224,0.634965034965035
2020,September,Kumba,Southwest,231938,1467,6.33,0.63,0.42778119237861095,0.03773584905660421,0.9592760180995477,9,0.3175578774841221,0.5082974800245852,0.8783216783216783,0.7223776223776224
2020,October,Kumba,Southwest,231938,1261,5.44,0.54,0.215119852489244,0.13207547169811296,0.9004524886877832,10,0.42778119237861095,0.3175578774841221,0.848951048951049,0.8783216783216783
2020,November,Kumba,Southwest,231938,1044,4.5,0.45,0.10489653759475517,0.3207547169811322,0.7963800904977374,11,0.215119852489244,0.42778119237861095,0.7048951048951049,0.848951048951049
2020,December,Kumba,Southwest,231938,756,3.26,0.33,0.012497439049375128,0.33962264150943433,0.7692307692307696,12,0.10489653759475517,0.215119852489244,0.5531468531468531,0.7048951048951049
2021,January,Kumba,Southwest,237737,706,2.97,0.3,0.008195041999590248,0.43396226415094397,0.5520361990950229,1,0.012497439049375128,0.10489653759475517,0.35174825174825175,0.5531468531468531
2021,February,Kumba,Southwest,237737,634,2.67,0.27,0.007375537799631223,0.6226415094339623,0.2941176470588238,2,0.008195041999590248,0.012497439049375128,0.31678321678321675,0.35174825174825175
2021,March,Kumba,Southwest,237737,826,3.48,0.35,0.06740422044662979,0.5283018867924527,0.5113122171945701,3,0.007375537799631223,0.008195041999590248,0.2664335664335664,0.31678321678321675
2021,April,Kumba,Southwest,237737,1045,4.4,0.44,0.2935873796353206,0.41509433962264186,0.7918552036199094,4,0.06740422044662979,0.007375537799631223,0.4006993006993007,0.2664335664335664
